"公司","Vision","Vision依据","Vision来源URL","Vision证据","Mission","Mission依据","Mission来源URL","Mission证据","Value Proposition","VP依据","VP来源URL","VP证据","Slogan","Slogan依据","Slogan来源URL","Slogan证据","状态","候选官方来源","搜索Query","Wiki页"
"具微科技","","","","","","","","","企服精选为中小企业推荐的效率消费决策高质量的企业服务商","官网描述","http://www.jushenyanxishe.com/company-pick","description: 企服精选为中小企业推荐的效率消费决策高质量的企业服务商","","","","","已搜索并抓取官方来源","杭州具微科技有限公司-展商信息-2026世界机器人大会-2026 ... <https://www.worldrobotconference.com/expo/company/506.html> ; 具微科技 | 具身研习社 <http://www.jushenyanxishe.com/company-pick/ju-wei-ke-ji> ; 具微科技MICBOT <https://www.micbotics.cn/> ; 具微科技全球首家具身智能 4s 店开业，具微科技轮式四足 ... <https://www.geekpark.net/news/351249>","""具微科技"" 官网 ; ""具微科技"" 愿景 使命 价值观 ; ""具微科技"" 价值主张 口号 ; ""具微科技"" 公众号 使命","entities/具微科技.html"
"开普勒机器人","","","","","","","","","上海开普勒机器人有限公司是一家专注于通用人形机器人研发、生产及应用生态的高科技创新企业。公司成立于 2023 年 8 月 15 日，位于上海市浦东新区，曾用名为上海开普勒探索机器人有限公司。发展历程：公司成立 3 个月就发布了首款机器人产品，1 年之内完成了 5 次技术迭代，迭代速度超行业平均速度。2024 年 10 月 14 日，自主研发的全尺寸通用人形…","官网描述","https://www.kelichina.com/invest/group/group3/2651.html","description: 上海开普勒机器人有限公司是一家专注于通用人形机器人研发、生产及应用生态的高科技创新企业","","","","","已搜索并抓取官方来源","上海开普勒机器人有限公司_宁波柯力传感科技股份有限公司 <https://www.kelichina.com/invest/group/group3/2651.html> ; 融资近3亿的具身机器人，3亿把控股权卖了-虎嗅网 <https://www.huxiu.com/article/4859811.html>","""开普勒机器人"" 官网 ; ""开普勒机器人"" 愿景 使命 价值观 ; ""开普勒机器人"" 价值主张 口号 ; ""开普勒机器人"" 公众号 使命","entities/开普勒机器人.html"
"颗粒进化","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""颗粒进化"" 官网 ; ""颗粒进化"" 愿景 使命 价值观 ; ""颗粒进化"" 价值主张 口号 ; ""颗粒进化"" 公众号 使命","entities/颗粒进化xLean.html"
"可派机器人","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""可派机器人"" 官网 ; ""可派机器人"" 愿景 使命 价值观 ; ""可派机器人"" 价值主张 口号 ; ""可派机器人"" 公众号 使命","entities/可派机器人.html"
"库卡","","","","","","","","","KUKA工业机器人，窄巷道·全规格托盘·全向车型","官网描述","https://www.kukacenter.com/cms/news407.html","description: KUKA工业机器人，窄巷道·全规格托盘·全向车型","","","","","已搜索并抓取官方来源","KUKA Center - KUKA工业机器人 <https://www.kukacenter.com/> ; 库卡 - Midea <https://www.midea.com.cn/zh/our-businesses/Robotics-and-Automation/kuka> ; 库卡机器人 <https://kuka.ainet.cn/>","""库卡"" 官网 ; ""库卡"" 愿景 使命 价值观 ; ""库卡"" 价值主张 口号 ; ""库卡"" 公众号 使命","entities/库卡.html"
"蓝芯科技","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""蓝芯科技"" 官网 ; ""蓝芯科技"" 愿景 使命 价值观 ; ""蓝芯科技"" 价值主张 口号 ; ""蓝芯科技"" 公众号 使命","entities/蓝芯科技.html"
"朗毅机器人","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""朗毅机器人"" 官网 ; ""朗毅机器人"" 愿景 使命 价值观 ; ""朗毅机器人"" 价值主张 口号 ; ""朗毅机器人"" 公众号 使命","entities/朗毅机器人.html"
"乐聚机器人","","","","","","","","","企服精选为中小企业推荐的效率消费决策高质量的企业服务商","官网描述","http://www.jushenyanxishe.com/company-pick","description: 企服精选为中小企业推荐的效率消费决策高质量的企业服务商","","","","","已搜索并抓取官方来源","乐聚机器人 | 具身研习社 <http://www.jushenyanxishe.com/company-pick/le-ju-ji-qi-ren>","""乐聚机器人"" 官网 ; ""乐聚机器人"" 愿景 使命 价值观 ; ""乐聚机器人"" 价值主张 口号 ; ""乐聚机器人"" 公众号 使命","entities/乐聚机器人.html"
"乐享科技","","","","","","","","","深圳市乐享科技智造有限公司-数据线,充电宝,耳机,音箱,无线充","官网描述","http://www.lexangre.com/","keywords: 深圳市乐享科技智造有限公司-数据线,充电宝,耳机,音箱,无线充","","","","","已搜索并抓取官方来源","深圳市乐享科技智造有限公司 <http://www.lexangre.com/> ; 机器人企业乐享科技完成亿元融资，28岁创始人曾操盘追觅 ... <https://www.guancha.cn/economy/2025_05_26_777222.shtml> ; 乐享科技 | 具身研习社 <http://www.jushenyanxishe.com/company-pick/le-xiang-zhi-neng>","""乐享科技"" 官网 ; ""乐享科技"" 愿景 使命 价值观 ; ""乐享科技"" 价值主张 口号 ; ""乐享科技"" 公众号 使命","entities/乐享科技.html"
"里工","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""里工"" 官网 ; ""里工"" 愿景 使命 价值观 ; ""里工"" 价值主张 口号 ; ""里工"" 公众号 使命","entities/里工.html"
"理工华汇","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""理工华汇"" 官网 ; ""理工华汇"" 愿景 使命 价值观 ; ""理工华汇"" 价值主张 口号 ; ""理工华汇"" 公众号 使命","entities/理工华汇.html"
"灵宝CASBOT","","","","","","","","","双足轻量化机型","显式字段","https://www.worldrobotconference.com/expo/company/460.html","CASBOT 02是灵宝CASBOT于2025年6月全新发布的第二代全尺寸双足人形机器人，定位为双足轻量化机型","","","","","已搜索并抓取官方来源","北京中科慧灵机器人技术有限公司-展商信息-2026世界机器人 ... <https://www.worldrobotconference.com/expo/company/460.html> ; 人形机器人新品牌“灵宝CASBOT”发布，来自中科慧灵 – 量子位 <https://www.qbitai.com/2024/10/213641.html> ; CASBOT W1 | 灵宝CASBOT - 能长高的轮式工人 - 轮式人形 ... <https://aixzd.com/robot/casbot-w1> ; 灵宝CASBOT | 具身研习社 <http://www.jushenyanxishe.com/company-pick/ling-bao-CASBOT>","""灵宝CASBOT"" 官网 ; ""灵宝CASBOT"" 愿景 使命 价值观 ; ""灵宝CASBOT"" 价值主张 口号 ; ""灵宝CASBOT"" 公众号 使命","entities/灵宝CASBOT.html"
"灵机数字","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""灵机数字"" 官网 ; ""灵机数字"" 愿景 使命 价值观 ; ""灵机数字"" 价值主张 口号 ; ""灵机数字"" 公众号 使命","entities/灵机数字.html"
"灵启万物","","","","","","","","","两位联合创始人的过往工作经历集中于机器人控制算法领域，技术栈都偏重于软件","官网描述","https://www.aibangbots.com/a/5180","description: 两位联合创始人的过往工作经历集中于机器人控制算法领域，技术栈都偏重于软件","","","","","已搜索并抓取官方来源","前腾讯Robotics X核心成员组团创业，拿到首轮融资 | 硬糖 ... <https://www.aibangbots.com/a/5180> ; MindOn - 公司详情 - 公司简介 - innoHere英诺嘿呀 <https://www.innohere.com/ir/159581/general.html>","""灵启万物"" 官网 ; ""灵启万物"" 愿景 使命 价值观 ; ""灵启万物"" 价值主张 口号 ; ""灵启万物"" 公众号 使命","entities/灵启万物.html"
"灵生科技","","","","","","","","","北京灵生科技有限公司是一家专注于具身智能机器人研发的创新企业，由清华系团","官网描述","https://www.worldrobotconference.com/expo/company/422.html","description: 北京灵生科技有限公司是一家专注于具身智能机器人研发的创新企业，由清华系团","","","","","已搜索并抓取官方来源","北京灵生科技有限公司-展商信息-2026世界机器人大会-2026 ... <https://www.worldrobotconference.com/expo/company/422.html> ; 灵生科技|人形机器人|具身智能数据基础设施提供商 <https://livsynrobotics.com/> ; 灵生科技 - 机器人世界 <https://www.robotsj.cn/brand/1112.html> ; 清华系具身智能机器人公司灵生科技完成亿元融资 <http://www.robotsci.com.cn/detail/1998217169573384192>","""灵生科技"" 官网 ; ""灵生科技"" 愿景 使命 价值观 ; ""灵生科技"" 价值主张 口号 ; ""灵生科技"" 公众号 使命","entities/灵生科技.html"
"灵童机器人","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""灵童机器人"" 官网 ; ""灵童机器人"" 愿景 使命 价值观 ; ""灵童机器人"" 价值主张 口号 ; ""灵童机器人"" 公众号 使命","entities/灵童机器人.html"
"灵御智能","","","","","","","","","您在人形机器人行业研究、分析和发现方面的权威来源","官网描述","https://www.robothub.app/zh/about","description: 您在人形机器人行业研究、分析和发现方面的权威来源","","","","","已搜索并抓取官方来源","LingYu Company 灵御智能 - 重塑物理存在的边界 <https://www.dexteleop.com/about> ; 灵御智能 | RobotHub <https://www.robothub.app/zh/companies/lingyu-intelligence>","""灵御智能"" 官网 ; ""灵御智能"" 愿景 使命 价值观 ; ""灵御智能"" 价值主张 口号 ; ""灵御智能"" 公众号 使命","entities/灵御智能.html"
"聆动通用","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""聆动通用"" 官网 ; ""聆动通用"" 愿景 使命 价值观 ; ""聆动通用"" 价值主张 口号 ; ""聆动通用"" 公众号 使命","entities/聆动通用.html"
"零次方机器人","","","","","","","","","面向酒店、餐厅等垂直类家庭场景的通用服务机器人","显式字段","https://www.robothub.app/zh/companies/zero-robotics","定位：面向酒店、餐厅等垂直类家庭场景的通用服务机器人","","","","","已搜索并抓取官方来源","零次方zerith-零次方机器人官网 <https://www.zerith.ai/> ; Zerith轮臂机器人H系列-零次方机器人官网 <https://zerith.com/arm> ; 零次方 | RobotHub <https://www.robothub.app/zh/companies/zero-robotics> ; 零次方 - 机器人世界 <https://www.robotsj.cn/brand/903.html>","""零次方机器人"" 官网 ; ""零次方机器人"" 愿景 使命 价值观 ; ""零次方机器人"" 价值主张 口号 ; ""零次方机器人"" 公众号 使命","entities/零次方机器人.html"
"另山居","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""另山居"" 官网 ; ""另山居"" 愿景 使命 价值观 ; ""另山居"" 价值主张 口号 ; ""另山居"" 公众号 使命","entities/另山居.html"
"隆盛唯睿","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""隆盛唯睿"" 官网 ; ""隆盛唯睿"" 愿景 使命 价值观 ; ""隆盛唯睿"" 价值主张 口号 ; ""隆盛唯睿"" 公众号 使命","entities/隆盛唯睿.html"
"鹿明机器人","","","","","","","","","企服精选为中小企业推荐的效率消费决策高质量的企业服务商","官网描述","http://www.jushenyanxishe.com/company-pick","description: 企服精选为中小企业推荐的效率消费决策高质量的企业服务商","","","","","已搜索并抓取官方来源","鹿明机器人科技（深圳）有限公司-展商信息-2026世界机器人 ... <https://www.worldrobotconference.com/expo/company/447.html> ; 鹿明机器人科技（深圳）有限公司 <https://apsoto.com/supplier/660010> ; 鹿明机器人 | 具身研习社 <http://www.jushenyanxishe.com/company-pick/lu-ming-ji-qi-ren> ; 鹿明 - 机器人世界 <https://www.robotsj.cn/brand/901.html>","""鹿明机器人"" 官网 ; ""鹿明机器人"" 愿景 使命 价值观 ; ""鹿明机器人"" 价值主张 口号 ; ""鹿明机器人"" 公众号 使命","entities/鹿明机器人.html"
"萝博派对","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""萝博派对"" 官网 ; ""萝博派对"" 愿景 使命 价值观 ; ""萝博派对"" 价值主张 口号 ; ""萝博派对"" 公众号 使命","entities/萝博派对.html"
"珞石机器人","","","","","","","","","ITES深圳工业展暨SIMM深圳机械展展会动态及最新市场资讯","官网描述","https://www.iteschina.com/zh-cn/news","description: ITES深圳工业展暨SIMM深圳机械展展会动态及最新市场资讯","","","","","已搜索并抓取官方来源","工业机器人- 珞石机器人 <https://www.iteschina.com/zh-cn/products/details/6284> ; 珞石机器人ROKAE,新一代智能机器人专家 <https://www.rokae.com/>","""珞石机器人"" 官网 ; ""珞石机器人"" 愿景 使命 价值观 ; ""珞石机器人"" 价值主张 口号 ; ""珞石机器人"" 公众号 使命","entities/珞石机器人.html"
"蚂蚁灵波","","","","","","","","","蚂蚁灵波科技是蚂蚁集团旗下具身智能公司，专注人形机器人研发。R1/R1-S智能服务机器人，支持商业、家庭、办公多场景应用，具备多模态交互、自主控制等核心技术","官网描述","https://www.robbyant.com/","description: 蚂蚁灵波科技是蚂蚁集团旗下具身智能公司，专注人形机器人研发","","","","","已搜索并抓取官方来源","蚂蚁灵波深化具身智能生态布局，携手简智机器人升级具身 ... <https://news.10jqka.com.cn/20260526/c676973281.shtml> ; 蚂蚁灵波科技 - 构建AGI时代的具身智能平台 <https://www.robbyant.com/> ; 蚂蚁灵波 | RobotHub <https://www.robothub.app/zh/companies/ant-lingbo> ; LingBot-World - 蚂蚁灵波开源世界模型，10分钟无损生成 ... <https://aiproducthub.cn/sites/lingbot-world.html>","""蚂蚁灵波"" 官网 ; ""蚂蚁灵波"" 愿景 使命 价值观 ; ""蚂蚁灵波"" 价值主张 口号 ; ""蚂蚁灵波"" 公众号 使命","entities/蚂蚁灵波.html"
"镁伽科技","","","","","","","","","⌈ByDrug医药新闻摘要⌋ 2023-05-11 09:30，医药魔方Invest：2022年后，自动化实验室赛道成为疯狂吸金的赛道之一。不少AI制药公司纷纷下场布局的同时，有一批自动化实验室企业也逐渐冒头。在这之中，镁伽引来了高盛、纪源资本、创新工场、愉悦资本等一众知名风投入局，并吸引了药明康德、义翘神州两家CXO及生命科学工具上游巨头注资，医药魔方I…","官网描述","https://bydrug.pharmcube.com/news/detail/4833ce00cbf5b5bb7da1628c4de0afee","description: ⌈ByDrug医药新闻摘要⌋ 2023-05-11 09:30，医药魔方Invest：2022年后，自动化实验室赛道成为疯狂吸金的赛道之一","","","","","已搜索并抓取官方来源","专访镁伽科技：一套智能自动化硬科技，解放十余位科学家 ... <https://bydrug.pharmcube.com/news/detail/4833ce00cbf5b5bb7da1628c4de0afee> ; MEGAROBO - 镁伽官方网站-Future Beyond Sight. - 镁伽科技 <https://www.megarobo.com/> ; 苏州镁伽科技有限公司_公司主页 <https://megarobo.biomart.cn/> ; 镁伽科技_镁伽_首页 <https://www.instrument.com.cn/netshow/SH104757/>","""镁伽科技"" 官网 ; ""镁伽科技"" 愿景 使命 价值观 ; ""镁伽科技"" 价值主张 口号 ; ""镁伽科技"" 公众号 使命","entities/镁伽科技.html"
"蒙楷特科技","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""蒙楷特科技"" 官网 ; ""蒙楷特科技"" 愿景 使命 价值观 ; ""蒙楷特科技"" 价值主张 口号 ; ""蒙楷特科技"" 公众号 使命","entities/蒙楷特科技.html"
"艨码科技","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""艨码科技"" 官网 ; ""艨码科技"" 愿景 使命 价值观 ; ""艨码科技"" 价值主张 口号 ; ""艨码科技"" 公众号 使命","entities/艨码科技.html"
"梦伴机器人","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""梦伴机器人"" 官网 ; ""梦伴机器人"" 愿景 使命 价值观 ; ""梦伴机器人"" 价值主张 口号 ; ""梦伴机器人"" 公众号 使命","entities/梦伴机器人-Somnia-Lab.html"
"妙动科技","","","","","","","","","Advantech IoTMart (China) Search Results","官网描述","https://iotmart.advantech.com.cn/Search.aspx?skey=%u6df1%u5733%u5e02%u5999%u52a8%u79d1%u6280%u5b98%u7f51","Title: 深圳市妙动科技官网 - Advantech IoTMart (China)","","","","","已搜索并抓取官方来源","半年两轮融资超3亿美元，红杉美团二度押注这家消费级机器 ... <https://m.huxiu.com/aibrief/6841.html> ; 大疆10年技术元老，加入初创机器人公司妙动科技 - 朋湖科创 <https://www.penghoo.cn/a/9610.html> ; 深圳市妙动科技官网 - Advantech IoTMart (China) <https://iotmart.advantech.com.cn/Search.aspx?skey=%u6df1%u5733%u5e02%u5999%u52a8%u79d1%u6280%u5b98%u7f51> ; 妙动科技 - 公司详情 - 公司简介 - innoHere英诺嘿呀 <https://www.innohere.com/ir/162584/general.html>","""妙动科技"" 官网 ; ""妙动科技"" 愿景 使命 价值观 ; ""妙动科技"" 价值主张 口号 ; ""妙动科技"" 公众号 使命","entities/妙动科技.html"
"魔法原子","","","","","","","","","魔法原子（MagicLab），这不仅是一家机器人初创公司，更是目前具身智能（Embodied AI）领域的头号黑马","官网描述","https://itlady.com/sites/1834.html","Title: 魔法原子官网 - 魔法原子（MagicLab），这不仅是一家机器人初创公司，更是目前具身智能（Embodied AI）领域的头号黑马","","","","","已搜索并抓取官方来源","魔法原子 <https://www.magiclab.top/> ; 魔法原子官网 - 魔法原子（MagicLab），这不仅是一家机器 ... <https://itlady.com/sites/1834.html> ; 魔法原子机器人科技（无锡）有限公司 <https://www.apsoto.com/supplier/658416> ; 独家专访魔法原子CEO吴长征：2025具身智能生死年 <https://finance.sina.com.cn/roll/2025-02-28/doc-inemyxcp7212841.shtml>","""魔法原子"" 官网 ; ""魔法原子"" 愿景 使命 价值观 ; ""魔法原子"" 价值主张 口号 ; ""魔法原子"" 公众号 使命","entities/魔法原子.html"
"墨奇智能","","","","","","","","","墨奇智能 - 专注于具身智能机器人研发的高科技企业","官网描述","https://www.morphi.com/","description: 墨奇智能 - 专注于具身智能机器人研发的高科技企业","","","","","已搜索并抓取官方来源","墨奇智能 Morphi Robot <https://www.morphi.com/> ; 墨奇智能 - 公司详情 - 公司简介 - innoHere英诺嘿呀 <https://www.innohere.com/ir/163402/general.html>","""墨奇智能"" 官网 ; ""墨奇智能"" 愿景 使命 价值观 ; ""墨奇智能"" 价值主张 口号 ; ""墨奇智能"" 公众号 使命","entities/墨奇智能.html"
"木蚁机器人","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""木蚁机器人"" 官网 ; ""木蚁机器人"" 愿景 使命 价值观 ; ""木蚁机器人"" 价值主张 口号 ; ""木蚁机器人"" 公众号 使命","entities/木蚁机器人.html"
"纳意维","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""纳意维"" 官网 ; ""纳意维"" 愿景 使命 价值观 ; ""纳意维"" 价值主张 口号 ; ""纳意维"" 公众号 使命","entities/纳意维.html"
"纽娲机器人","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""纽娲机器人"" 官网 ; ""纽娲机器人"" 愿景 使命 价值观 ; ""纽娲机器人"" 价值主张 口号 ; ""纽娲机器人"" 公众号 使命","entities/纽娲机器人.html"
"诺仕机器人","","","","","","","","","诺仕机器人专注于正向设计和全套工艺自产行星滚柱丝杠与执行器，是全球知名的行星滚柱丝杠和微型直线电缸品牌，致力于为人形机器人等领域提供高精度、高可靠性的传动解决方案","官网描述","http://nousbot.tech/","description: 诺仕机器人专注于正向设计和全套工艺自产行星滚柱丝杠与执行器，是全球知名的行星滚柱丝杠和微型直线电缸品牌，致力于为人形机器人等领域提供高精度、高可靠性的传动解决方案","","","","","已搜索并抓取官方来源","深圳市诺仕机器人有限公司-展商信息-2026世界机器人大会 ... <https://www.worldrobotconference.com/expo/company/538.html> ; 诺仕机器人-全球知名行星滚柱丝杠&微型直线电缸品牌 <http://nousbot.tech/> ; 开启新篇章： [诺仕机器人] 全新官网重磅上线 - 艾邦机器人 <https://www.aibangbots.com/a/3950> ; 诺仕机器人 - 公司详情 - 公司简介 - innoHere英诺嘿呀 <https://www.innohere.com/ir/157549/general.html>","""诺仕机器人"" 官网 ; ""诺仕机器人"" 愿景 使命 价值观 ; ""诺仕机器人"" 价值主张 口号 ; ""诺仕机器人"" 公众号 使命","entities/诺仕机器人.html"
"诺亦腾机器人","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""诺亦腾机器人"" 官网 ; ""诺亦腾机器人"" 愿景 使命 价值观 ; ""诺亦腾机器人"" 价值主张 口号 ; ""诺亦腾机器人"" 公众号 使命","entities/诺亦腾机器人.html"
"诺因智能","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""诺因智能"" 官网 ; ""诺因智能"" 愿景 使命 价值观 ; ""诺因智能"" 价值主张 口号 ; ""诺因智能"" 公众号 使命","entities/诺因智能.html"
"欧拉万象","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""欧拉万象"" 官网 ; ""欧拉万象"" 愿景 使命 价值观 ; ""欧拉万象"" 价值主张 口号 ; ""欧拉万象"" 公众号 使命","entities/欧拉万象.html"
"帕西尼","","","","","to promote a new generation of multi-dimensional tactile-based commercial humanoid robots","显式字段","https://www.worldrobotconference.com/list_339/448.html","to promote a new generation of multi-dimensional tactile-based commercial humanoid robots","PaXini 帕西尼，构建智能世界的桥梁，引领全球智能感知革命。以6D 霍尔阵列式技术为核心打造的多维产品矩阵，包含第三代高精度多维触觉传感器 PX-6AX-GEN3、消费级触觉传感器PX-3AX，多维触觉灵巧手GMH18、DexH13、DexH5，业内首款多维触觉人形机器人TORA DOUBLE ONE以及全新一代轻量化多维触觉人形机器人 TORA ONE","官网描述","https://www.paxini.com/","description: PaXini 帕西尼，构建智能世界的桥梁，引领全球智能感知革命","","","","","已搜索并抓取官方来源","PaXini 帕西尼 - 官方网站 <https://www.paxini.com/> ; 帕西尼感知科技（深圳）有限公司-exhibitor-2026世界机器人 ... <https://www.worldrobotconference.com/list_339/448.html> ; 帕西尼感知 - 机器人世界 <https://www.robotsj.cn/brand/253.html> ; 帕西尼 | 具身研习社 <http://www.jushenyanxishe.com/company-pick/pa-xi-ni>","""帕西尼"" 官网 ; ""帕西尼"" 愿景 使命 价值观 ; ""帕西尼"" 价值主张 口号 ; ""帕西尼"" 公众号 使命","entities/帕西尼.html"
"派宝机器人","","","","","","","","","派宝机器人新闻中心，提供商用服务机器人、迎宾机器人、巡逻机器人、配送机器人行业资讯、企业动态、技术文章与解决方案分享","官网描述","https://www.padbot.cn/news/","description: 派宝机器人新闻中心，提供商用服务机器人、迎宾机器人、巡逻机器人、配送机器人行业资讯、企业动态、技术文章与解决方案分享","","","","","已搜索并抓取官方来源","PadBot 派宝机器人 | 智慧园区无人化服务 <https://www.padbot.cn/> ; PADBOT 派宝机器人官方旗舰店 - 京东 <https://padbot.jd.com/> ; 派宝大屏机器人|迎宾接待机器人|配送机器人|测温机器人 <http://paibao-robot.aichinaw.com/>","""派宝机器人"" 官网 ; ""派宝机器人"" 愿景 使命 价值观 ; ""派宝机器人"" 价值主张 口号 ; ""派宝机器人"" 公众号 使命","entities/派宝机器人.html"
"破壳机器人","","","","","","","","","破壳机器人是一家家庭机器人研发生产商","官网描述","http://qydb.leshanvc.com/58820.html","description: 破壳机器人是一家家庭机器人研发生产商","","","","","已搜索并抓取官方来源","破壳（北京）智能科技有限公司_破壳机器人 <http://qydb.leshanvc.com/58820.html>","""破壳机器人"" 官网 ; ""破壳机器人"" 愿景 使命 价值观 ; ""破壳机器人"" 价值主张 口号 ; ""破壳机器人"" 公众号 使命","entities/破壳机器人.html"
"普渡机器人","","","","","","","","","一个面向全球开发者的、为物理世界而生的通用具身智能体平台，一个有望成为“机器人界的iOS/Android”的具身智能基础设施","显式字段","https://www.leiphone.com/category/robot/lNgOlmwWqgnBTY2t.html","作为内嵌于PuduFM大模型之中的通用具身智能体平台，PuduAgent的定位是一个面向全球开发者的、为物理世界而生的通用具身智能体平台，一个有望成为“机器人界的iOS/Android”的具身智能基础设施","","","","","已搜索并抓取官方来源","关于我们 - 普渡机器人 <https://pudutech.com/company> ; 百亿估值背后，普渡机器人以全球化商业实战练就具身智能「 ... <https://www.leiphone.com/category/robot/lNgOlmwWqgnBTY2t.html>","""普渡机器人"" 官网 ; ""普渡机器人"" 愿景 使命 价值观 ; ""普渡机器人"" 价值主张 口号 ; ""普渡机器人"" 公众号 使命","entities/普渡机器人.html"
"启玄科技","","","","","让工业机器人更简单！","显式字段","http://www.leshanvc.net/9712.html","公司拥有多项发明专利，软件著作，我们的使命是让工业机器人更简单！","致力于机器人研发","官网正文","http://www.leshanvc.net/9712.html","致力于机器人研发","","","","","已搜索并抓取官方来源","启玄科技_深圳市启玄科技有限公司 <http://www.leshanvc.net/9712.html>","""启玄科技"" 官网 ; ""启玄科技"" 愿景 使命 价值观 ; ""启玄科技"" 价值主张 口号 ; ""启玄科技"" 公众号 使命","entities/启玄科技.html"
"千寻智能","","","","","","","","","企服精选为中小企业推荐的效率消费决策高质量的企业服务商","官网描述","http://www.jushenyanxishe.com/company-pick","description: 企服精选为中小企业推荐的效率消费决策高质量的企业服务商","","","","","已搜索并抓取官方来源","千寻智能 | 具身研习社 <http://www.jushenyanxishe.com/company-pick/qian-xun-zhi-neng> ; 千寻智能 - 机器人世界 <https://www.robotsj.cn/brand/875.html>","""千寻智能"" 官网 ; ""千寻智能"" 愿景 使命 价值观 ; ""千寻智能"" 价值主张 口号 ; ""千寻智能"" 公众号 使命","entities/千寻智能.html"
"桥介数物 BridgeDP","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""桥介数物 BridgeDP"" 官网 ; ""桥介数物 BridgeDP"" 愿景 使命 价值观 ; ""桥介数物 BridgeDP"" 价值主张 口号 ; ""桥介数物 BridgeDP"" 公众号 使命","entities/桥介数物.html"
"青心意创","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""青心意创"" 官网 ; ""青心意创"" 愿景 使命 价值观 ; ""青心意创"" 价值主张 口号 ; ""青心意创"" 公众号 使命","entities/青心意创.html"
"清宝机器人","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""清宝机器人"" 官网 ; ""清宝机器人"" 愿景 使命 价值观 ; ""清宝机器人"" 价值主张 口号 ; ""清宝机器人"" 公众号 使命","entities/清宝机器人.html"
"擎仓机器人","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""擎仓机器人"" 官网 ; ""擎仓机器人"" 愿景 使命 价值观 ; ""擎仓机器人"" 价值主张 口号 ; ""擎仓机器人"" 公众号 使命","entities/擎仓机器人.html"
"擎朗智能","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""擎朗智能"" 官网 ; ""擎朗智能"" 愿景 使命 价值观 ; ""擎朗智能"" 价值主张 口号 ; ""擎朗智能"" 公众号 使命","entities/擎朗智能.html"
"穹彻智能","","","","","","","","","具身智能, 丰富现实世界。 Embodied intelligence, enriching the physical world","官网描述","https://www.noematrix.ai/","具身智能, 丰富现实世界。 Embodied intelligence, enriching the physical world","","","","","已搜索并抓取官方来源","首页 | 穹彻智能 <https://www.noematrix.ai/>","""穹彻智能"" 官网 ; ""穹彻智能"" 愿景 使命 价值观 ; ""穹彻智能"" 价值主张 口号 ; ""穹彻智能"" 公众号 使命","entities/穹彻智能.html"
"求之科技","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""求之科技"" 官网 ; ""求之科技"" 愿景 使命 价值观 ; ""求之科技"" 价值主张 口号 ; ""求之科技"" 公众号 使命","entities/求之科技.html"
"日冕机器人","","","","","","","","","","","","","","","","","搜索未定位到可信官方来源","","""日冕机器人"" 官网 ; ""日冕机器人"" 愿景 使命 价值观 ; ""日冕机器人"" 价值主张 口号 ; ""日冕机器人"" 公众号 使命","entities/日冕机器人.html"
